WeatherTime,t-000h,t-006h,t-012h,t-018h,t-024h,t-030h,t-036h,t-042h,t-048h,t-054h,t-060h,t-066h,t-072h,t-078h,t-084h,t-090h,t-096h,t-102h,t-108h,t-114h,t-120h,t-126h,t-132h,t-138h,t-144h,t-150h,t-156h,t-162h,t-168h,t-174h,t-180h
2018-04-08T12:00:00,,6.11111111111,,6.66666666667,6.66666666667,6.11111111111,,6.11111111111,6.11111111111,5,5,3.88888888889,3.88888888889,3.33333333333,3.33333333333,5.55555555556,5.55555555556,6.66666666667,6.66666666667,6.66666666667,6.66666666667,7.77777777778,7.77777777778,8.88888888889,,8.88888888889,8.88888888889,8.88888888889,8.88888888889,6.66666666667,6.66666666667
2018-04-08T18:00:00,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-09T12:00:00,,,,7.77777777778,,7.77777777778,,7.22222222222,7.22222222222,8.88888888889,,8.88888888889,8.88888888889,7.77777777778,7.77777777778,7.77777777778,7.77777777778,8.33333333333,8.33333333333,8.33333333333,8.33333333333,7.77777777778,7.77777777778,8.88888888889,8.88888888889,9.44444444444,9.44444444444,11.6666666667,,11.6666666667,11.6666666667
2018-04-10T12:00:00,,7.22222222222,8.33333333333,,,,,8.88888888889,,9.44444444444,,8.33333333333,8.33333333333,8.33333333333,,7.77777777778,7.77777777778,7.77777777778,7.77777777778,7.77777777778,7.77777777778,7.77777777778,7.77777777778,7.22222222222,7.22222222222,7.77777777778,7.77777777778,8.33333333333,8.33333333333,8.33333333333,8.33333333333
2018-04-10T18:00:00,6.66666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-11T12:00:00,,18.8888888889,17.7777777778,17.2222222222,,17.7777777778,17.7777777778,,,,,17.2222222222,,16.1111111111,,16.1111111111,16.1111111111,14.4444444444,,14.4444444444,14.4444444444,13.8888888889,13.3333333333,14.4444444444,14.4444444444,12.2222222222,12.2222222222,11.1111111111,11.1111111111,10,10
2018-04-11T18:00:00,18.8888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-12T12:00:00,25,24.4444444444,23.8888888889,23.8888888889,,23.3333333333,23.3333333333,23.8888888889,,23.3333333333,23.3333333333,,,,,21.1111111111,,21.6666666667,,18.8888888889,18.8888888889,17.2222222222,,17.7777777778,17.7777777778,17.7777777778,17.7777777778,17.2222222222,17.2222222222,15,15
2018-04-12T18:00:00,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-13T12:00:00,,22.2222222222,23.8888888889,22.7777777778,22.7777777778,22.2222222222,22.2222222222,22.7777777778,,22.2222222222,22.2222222222,21.6666666667,,22.7777777778,22.7777777778,,,,,22.2222222222,,22.2222222222,,19.4444444444,19.4444444444,18.3333333333,,16.1111111111,16.1111111111,15.5555555556,15.5555555556
2018-04-13T18:00:00,21.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-14T12:00:00,,20.5555555556,19.4444444444,20.5555555556,,21.1111111111,21.1111111111,20,20,19.4444444444,19.4444444444,19.4444444444,,20,20,19.4444444444,,18.3333333333,18.3333333333,,,,,15,,16.1111111111,,15.5555555556,15.5555555556,12.7777777778,
2018-04-14T18:00:00,19.4444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-15T12:00:00,8.33333333333,8.33333333333,8.33333333333,9.44444444444,,8.88888888889,8.88888888889,10,,10,10,10,10,8.88888888889,8.88888888889,8.88888888889,,10,10,10.5555555556,,10,10,,,,,8.88888888889,,9.44444444444,
2018-04-15T18:00:00,8.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-16T12:00:00,1.11111111111,3.33333333333,3.33333333333,3.88888888889,3.88888888889,4.44444444444,4.44444444444,5.55555555556,,6.11111111111,6.11111111111,6.11111111111,,6.66666666667,6.66666666667,7.22222222222,7.22222222222,7.22222222222,7.22222222222,7.22222222222,,6.66666666667,6.66666666667,7.77777777778,,8.33333333333,8.33333333333,,,,
2018-04-16T18:00:00,1.11111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-17T12:00:00,10.5555555556,10.5555555556,,11.6666666667,11.6666666667,11.1111111111,11.1111111111,12.2222222222,12.2222222222,12.7777777778,12.7777777778,13.3333333333,,15,15,15.5555555556,,13.8888888889,13.8888888889,13.8888888889,13.8888888889,13.3333333333,13.3333333333,14.4444444444,,12.7777777778,12.7777777778,12.2222222222,,11.6666666667,11.6666666667
2018-04-17T18:00:00,10.5555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-18T12:00:00,13.8888888889,12.7777777778,12.2222222222,10.5555555556,10.5555555556,15.5555555556,,15.5555555556,15.5555555556,17.2222222222,17.2222222222,18.3333333333,18.3333333333,18.3333333333,18.3333333333,17.7777777778,,17.2222222222,17.2222222222,16.6666666667,,16.1111111111,16.1111111111,16.1111111111,16.1111111111,15.5555555556,15.5555555556,15.5555555556,,16.1111111111,16.1111111111
2018-04-18T18:00:00,13.8888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-19T12:00:00,12.7777777778,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,10.5555555556,10.5555555556,10,,10.5555555556,10.5555555556,10.5555555556,10.5555555556,10.5555555556,10.5555555556,10,10,10.5555555556,,11.6666666667,11.6666666667,12.7777777778,,13.3333333333,13.3333333333,13.3333333333,13.3333333333,12.7777777778,12.7777777778
2018-04-19T18:00:00,12.7777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-20T12:00:00,,,16.1111111111,15,15,15,15,14.4444444444,14.4444444444,13.8888888889,13.8888888889,13.3333333333,13.3333333333,13.3333333333,,13.3333333333,13.3333333333,13.8888888889,13.8888888889,13.3333333333,13.3333333333,13.3333333333,13.3333333333,13.3333333333,,13.8888888889,13.8888888889,13.8888888889,,15.5555555556,15.5555555556
2018-04-21T12:00:00,,,,,,,16.1111111111,15.5555555556,15.5555555556,15,15,15,15,14.4444444444,14.4444444444,14.4444444444,14.4444444444,14.4444444444,,13.8888888889,13.8888888889,14.4444444444,14.4444444444,12.7777777778,12.7777777778,13.8888888889,13.8888888889,13.8888888889,,15,15
2018-04-22T12:00:00,,,,,,,,,,,17.7777777778,17.7777777778,17.7777777778,16.6666666667,16.6666666667,16.6666666667,16.6666666667,16.6666666667,16.6666666667,16.1111111111,16.1111111111,15.5555555556,,15.5555555556,15.5555555556,15.5555555556,15.5555555556,13.8888888889,13.8888888889,12.7777777778,12.7777777778
2018-04-23T12:00:00,,,,,,,,,,,,,,,18.8888888889,17.7777777778,17.7777777778,18.3333333333,18.3333333333,17.7777777778,17.7777777778,18.3333333333,18.3333333333,17.7777777778,17.7777777778,17.7777777778,,17.7777777778,17.7777777778,16.1111111111,16.1111111111
2018-04-24T12:00:00,,,,,,,,,,,,,,,,,,,17.7777777778,17.2222222222,17.2222222222,18.3333333333,18.3333333333,18.3333333333,18.3333333333,19.4444444444,19.4444444444,18.8888888889,18.8888888889,18.3333333333,
2018-04-25T12:00:00,,,,,,,,,,,,,,,,,,,,,,,15.5555555556,15.5555555556,15.5555555556,16.1111111111,16.1111111111,16.6666666667,16.6666666667,17.2222222222,17.2222222222
2018-04-26T12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7777777778,17.7777777778,17.7777777778,16.6666666667,16.6666666667
2018-04-27T12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7777777778

