WeatherTime,t-000h,t-006h,t-012h,t-018h,t-024h,t-030h,t-036h,t-042h,t-048h,t-054h,t-060h,t-066h,t-072h,t-078h,t-084h,t-090h,t-096h,t-102h,t-108h,t-114h,t-120h,t-126h,t-132h,t-138h,t-144h,t-150h,t-156h,t-162h,t-168h,t-174h,t-180h,t-186h,t-192h,t-198h
2018-04-20T18:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-21T00:00:00,,,,,,,,,,,,,,,1,,2,2,2,,2,3,3,3,,,,,2,,,,,
2018-04-21T12:00:00,,,,,,,,,,,,,,,,,4,,4,4,4,,4,5,5,5,,5,5,,5,,,
2018-04-22T00:00:00,,,,,,,,,,2,2,,5,,5,5,5,,9,,11,12,12,,14,14,14,16,,12,12,,,
2018-04-22T06:00:00,,,,,,,10,10,10,5,12,12,,5,,,,,,,,,,,,,,,,,,,,
2018-04-22T12:00:00,,,,,,,,27,27,27,30,25,25,,19,,19,19,20,,12,,12,22,22,,37,37,26,41,,,,
2018-04-22T18:00:00,,,,,,,,,36,36,36,32,33,33,,28,,28,28,25,,19,,19,37,37,,,,,,,,
2018-04-23T00:00:00,,,,,,,,,,69,69,69,69,50,50,,63,,51,51,47,,50,,51,52,52,,49,49,33,,,
2018-04-23T06:00:00,,,,,,,,,,,89,89,89,74,72,72,,65,,56,56,50,,55,,62,,,,,,,,
2018-04-23T12:00:00,,,,,,,,,,,,95,95,95,79,66,66,,66,,58,58,57,,57,,57,49,49,,,,,
2018-04-24T00:00:00,,,,,,,,,,,,,,81,81,81,67,64,64,,60,,49,49,49,,47,,56,27,27,,,
2018-04-24T12:00:00,,,,,,,,,,,,,,,,56,56,56,53,47,47,,49,,46,46,,,44,,44,,,
2018-04-25T00:00:00,,,,,,,,,,,,,,,,,,25,25,25,31,28,28,,29,,27,27,35,,32,,,
2018-04-25T12:00:00,,,,,,,,,,,,,,,,,,,,18,18,18,18,20,20,,26,,26,26,33,,,
2018-04-26T00:00:00,,,,,,,,,,,,,,,,,,,,,,16,16,16,14,16,16,,12,,,,,
2018-04-26T12:00:00,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,10,10,10,,9,,,
2018-04-27T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,8,,,,,
2018-04-27T12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,7,9,,,
2018-04-28T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,11,,
2018-04-28T12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15

